27	3774	6997	40
26	3765	6991	43
31	3763	6987	37
29	3746	6986	35
28	3743	6980	41
29	3733	6969	42
27	3722	6960	41
29	3711	6955	37
29	3704	6944	41
25	3696	6935	39
29	3688	6922	46
29	3674	6908	39
30	3670	6888	42
26	3658	6883	41
28	3656	6864	41
30	3644	6860	40
25	3643	6844	41
29	3632	6836	40
27	3628	6817	38
26	3612	6812	43
31	3610	6797	40
28	3601	6793	38
26	3592	6776	44
27	3579	6771	39
27	3570	6751	40
27	3568	6749	40
28	3565	6730	43
24	3550	6725	40
30	3545	6705	45
26	3530	6705	40
32	3532	6685	40
27	3517	6687	40
33	3517	6673	43
21	3505	6665	40
29	3503	6654	42
26	3489	6648	33
31	3490	6638	45
28	3477	6633	39
29	3470	6620	38
26	3460	6616	36
34	3464	6607	39
24	3449	6603	37
29	3444	6590	39
26	3428	6593	40
27	3427	6581	41
26	3415	6579	39
29	3410	6570	44
30	3406	6566	42
31	3399	6556	45
29	3386	6554	41
28	3383	6541	41
31	3372	6544	41
31	3370	6530	37
31	3358	6528	42
25	3351	6517	41
29	3341	6512	30
33	3345	6503	41
27	3332	6497	41
25	3324	6482	42
25	3318	6481	40
29	3309	6471	38
26	3301	6466	35
27	3293	6447	39
31	3284	6445	41
33	3281	6433	38
27	3272	6423	37
28	3264	6407	43
30	3256	6407	37
27	3252	6387	39
31	3243	6381	38
29	3239	6367	39
34	3231	6358	36
30	3230	6337	38
32	3213	6331	42
27	3214	6315	36
32	3201	6307	42
30	3194	6284	42
30	3192	6279	39
29	3191	6258	40
28	3180	6254	44
28	3174	6227	42
27	3164	6224	42
27	3162	6204	37
28	3152	6200	39
33	3144	6182	39
26	3137	6178	44
29	3135	6154	42
28	3128	6141	39
27	3118	6127	41
32	3115	6116	37
29	3110	6105	39
27	3103	6095	37
29	3097	6078	41
29	3087	6070	38
29	3080	6054	40
31	3070	6041	33
30	3069	6030	39
26	3062	6019	42
25	3062	6007	41
27	3051	6005	38
27	3047	5986	42
25	3035	5981	33
26	3032	5964	40
28	3020	5955	36
29	3022	5938	34
26	3013	5936	40
28	3013	5925	42
26	3005	5919	36
31	3002	5900	42
23	2989	5898	38
31	2985	5882	39
29	2980	5880	39
29	2977	5864	40
24	2970	5862	32
27	2965	5844	41
29	2955	5846	43
29	2950	5829	42
25	2941	5826	41
28	2940	5815	43
26	2931	5815	40
27	2933	5799	46
27	2918	5801	39
27	2916	5786	43
30	2911	5784	39
28	2903	5767	38
27	2898	5769	39
25	2894	5750	40
28	2887	5748	39
33	2879	5733	42
27	2877	5729	42
26	2870	5723	43
30	2865	5716	41
25	2855	5707	39
27	2852	5699	42
30	2850	5689	40
22	2838	5686	38
29	2838	5671	44
23	2826	5672	37
25	2827	5654	47
30	2818	5655	41
